timestamp,event,mint,symbol,setup,price_usd,size_usd,fee_usd,pnl_usd,rug_verdict,movement,features,reason
2026-08-27 20:05:57,SCREEN,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,RUG_RISK,,,"RUG_RISK score=84 | hard_fail:sell_route | warn:organic_buyers_5m,order_flow_5m"
2026-08-27 20:05:57,SKIP,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=84 | hard_fail:sell_route | warn:organic_buyers_5m,order_flow_5m"
2026-08-27 20:06:02,SCREEN,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 20:06:06,SCREEN,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,SAFE,,,"SAFE score=84 | warn:organic_buyers_5m,order_flow_5m"
2026-08-27 20:06:14,SCREEN,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:06:17,SCREEN,EhCzWhMyUAo87bQ663fV2A6reLhXgdhdcf9ynJV8pump,POKEMON,,,,,,RUG_RISK,,,RUG_RISK score=92 | hard_fail:sell_route | warn:organic_buyers_5m
2026-08-27 20:06:17,SKIP,EhCzWhMyUAo87bQ663fV2A6reLhXgdhdcf9ynJV8pump,POKEMON,,,,,,RUG_RISK,,,rug_screen: RUG_RISK score=92 | hard_fail:sell_route | warn:organic_buyers_5m
2026-08-27 20:06:58,SCREEN,DMXBsVBwfuzc5axa2vz6Ba2BzAxcUmn6V7ZtsJFEpump,TOADS,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 20:07:49,SCREEN,HG3sZ52NRmNpm2BueL1MSBM3krr5M6YJtQohjNyhpump,BANDOS,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:07:51,SKIP,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,,,,,,SAFE,,,no_price_data (4 ticks / 150s)
2026-08-27 20:08:38,SKIP,AA33znW3bciXvrj8AUwPryVgDiasmEGxaqCwjHEWGdkd,b,,,,,,,,,buy_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:08:42,SKIP,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,,,,"buy_failed: Jupiter could not build a swap: {'code': 429, 'message': '[API Gateway] Too many requests'}"
2026-08-27 20:08:48,SKIP,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,STONK,,,,,,SAFE,,,no_price_data (4 ticks / 180s)
2026-08-27 20:08:53,SKIP,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,SAFE,,,no_price_data (4 ticks / 180s)
2026-08-27 20:08:57,SKIP,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,SAFE,bo:1h_out_of_band (-12%); pb:1h_out_of_band (-12%),,setup: bo:1h_out_of_band (-12%); pb:1h_out_of_band (-12%)
2026-08-27 20:09:04,SKIP,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,SAFE,,,no_price_data (4 ticks / 122s)
2026-08-27 20:09:07,SKIP,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,SAFE,,,no_price_data (3 ticks / 173s)
2026-08-27 20:09:33,SKIP,DMXBsVBwfuzc5axa2vz6Ba2BzAxcUmn6V7ZtsJFEpump,TOADS,,,,,,SAFE,bo:1h_out_of_band (-12%); pb:1h_out_of_band (-12%),,setup: bo:1h_out_of_band (-12%); pb:1h_out_of_band (-12%)
2026-08-27 20:10:25,SKIP,HG3sZ52NRmNpm2BueL1MSBM3krr5M6YJtQohjNyhpump,BANDOS,,,,,,SAFE,bo:1h_out_of_band (-9%); bo:late_slope (-2.69); pb:1h_out_of_band (-9%),,setup: bo:1h_out_of_band (-9%); bo:late_slope (-2.69); pb:1h_out_of_band (-9%)
2026-08-27 20:11:15,SCREEN,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,,,,,,RUG_RISK,,,RUG_RISK score=92 | hard_fail:sell_route | warn:dev_history
2026-08-27 20:11:15,SKIP,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,,,,,,RUG_RISK,,,rug_screen: RUG_RISK score=92 | hard_fail:sell_route | warn:dev_history
2026-08-27 20:11:22,SCREEN,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:11:31,SCREEN,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:11:31,SKIP,TTWofwAge91oFhZs7kpQdyrVRkmevgM88xijGvQFbKo,TTWO,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:11:33,SCREEN,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:11:38,SCREEN,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,STONK,,,,,,SAFE,,,"SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:11:42,SCREEN,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 20:11:44,SCREEN,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:11:44,SKIP,SKHYhSjuRWHgikq8eRKbtBbpABgJSkd7ytQV14i9EQ3,SKHY,,,,,,RUG_RISK,,,"rug_screen: RUG_RISK score=92 | hard_fail:mint_authority,freeze_authority,top1_holder,top10_holders | warn:organic_buyers_5m"
2026-08-27 20:11:48,SCREEN,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,RUG_RISK,,,RUG_RISK score=92 | hard_fail:sell_route | warn:organic_buyers_5m
2026-08-27 20:11:48,SKIP,E3i7sTY5QYEBh3itepnomZQt7Eh5kzmHFk1vkm2pump,cc,,,,,,RUG_RISK,,,rug_screen: RUG_RISK score=92 | hard_fail:sell_route | warn:organic_buyers_5m
2026-08-27 20:11:54,SCREEN,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
2026-08-27 20:11:58,SCREEN,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,SAFE,,,SAFE score=92 | warn:organic_buyers_5m
2026-08-27 20:12:05,SCREEN,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,SAFE,,,SAFE score=100
2026-08-27 20:12:08,SCREEN,EhCzWhMyUAo87bQ663fV2A6reLhXgdhdcf9ynJV8pump,POKEMON,,,,,,SAFE,,,SAFE score=92 | warn:organic_buyers_5m
2026-08-27 20:13:57,BUY,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,breakout,0.0001120906,5.00,0.0011,,SAFE,"breakout: -5.4% off high, 1h +9%, flow 27/23, late slope 4.49",rug_score=100;liq_usd=16757;mcap_usd=108948;vol24_usd=7.6088e+06;holders=3043;top1_pct=16.67;organic_score=75;chg5m_pct=-3.43;chg1h_pct=9.21;chg24h_pct=286.93;organic_buyers_5m=6;buys_5m=27;sells_5m=23;dev_mints=1;setup_breakout=1;setup_pullback=0;mv_return_pct=-5.438;mv_drawdown_pct=-5.438;mv_slope=-3.1074;mv_late_slope=4.4928;mv_vol_pct=2.219;mv_below_high_pct=-5.438;mv_above_low_pct=1.856;mv_holder_growth=-1.182;mv_liq_trend_pct=-3.028,breakout | stop 0.0000986397 | SAFE score=100
2026-08-27 20:14:44,SKIP,hgin2YeSuc6JXDwiTKGxZaw1xkDHKicUAHPV3u9pump,PHASEONE,,,,,,SAFE,bo:flow_weak (0/3); pb:dd_out_of_band (-0.0%),,setup: bo:flow_weak (0/3); pb:dd_out_of_band (-0.0%)
2026-08-27 20:14:54,BUY,6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx,STONK,pullback,0.0154581881,5.00,0.0011,,SAFE,"pullback: 1h +-4%, retrace 1.0% off peak, 5m 1.1%, late slope -1.25",rug_score=84;liq_usd=845916;mcap_usd=1.38857e+07;vol24_usd=4.57418e+06;holders=12620;top1_pct=19.63;organic_score=89.66;chg5m_pct=1.08;chg1h_pct=-4.14;chg24h_pct=12.72;organic_buyers_5m=1;buys_5m=4;sells_5m=9;dev_mints=5810;setup_breakout=0;setup_pullback=1;mv_return_pct=-0.899;mv_drawdown_pct=-0.954;mv_slope=-0.0191;mv_late_slope=-1.2474;mv_vol_pct=0.692;mv_below_high_pct=-0.954;mv_above_low_pct=0.099;mv_holder_growth=0.307;mv_liq_trend_pct=-0.108,"pullback | stop 0.0136032055 | SAFE score=84 | warn:dev_history,organic_buyers_5m"
2026-08-27 20:14:56,SKIP,4kjruqGHDsSqkMdFfCjV7Vb62HPFhtXyWc2t6JpQzDnz,GTA6,,,,,,SAFE,bo:1h_out_of_band (-6%); pb:1h_out_of_band (-6%); pb:dd_out_of_band (-0.0%),,setup: bo:1h_out_of_band (-6%); pb:1h_out_of_band (-6%); pb:dd_out_of_band (-0.0%)
2026-08-27 20:14:58,SKIP,7n8kRipxAQBfpGQtcGA2AbkM2HASSVCzqZ5F3QEopump,Zoe,,,,,,SAFE,bo:1h_out_of_band (-20%); bo:5m_negative (-6.5%); pb:1h_out_of_band (-20%),,setup: bo:1h_out_of_band (-20%); bo:5m_negative (-6.5%); pb:1h_out_of_band (-20%)
2026-08-27 20:15:06,SKIP,Ge87EtsjwRQbHaqQmKRno69RFTwh9bfSsm99XNxTpump,Jimothy,,,,,,,,,buy_failed: Jupiter could not build a swap: Insufficient funds
